"panther_id","sex","age","age_unit"
"UCFP348","Male","9","Months"
"UCFP349","Male","2","Years"
"UCFP350","Male","2","Years"
"UCFP351","Male","7","Months"
"UCFP352","Male","4","Years"
"UCFP353","Female","1.5","Years"
"UCFP354","Male","5.5","Months"
"UCFP355","Male","1.8","Years"
"UCFP356","Female","5","Years"
"UCFP357","Female","1.5","Years"
"UCFP358","Female","5","Years"
"UCFP359","Female","","Years"
"UCFP360","Male","","Years"
"UCFP361","Female","11","Months"
"UCFP362","Female","","Years"
"UCFP363","Female","2","Years"
"UCFP364","Female","4","Months"
"UCFP365","Male","2.5","Years"
"UCFP366","Male","3.5","Years"
"UCFP367","Female","4.5","Months"
"UCFP368","Male","3.5","Years"
"UCFP369","Female","2.25","Months"
"UCFP370","Male","2.5","Years"
"UCFP371","Female","3.5","Months"
"UCFP372","Female","11","Months"
"UCFP373","Female","2","Years"
"UCFP374","Female","3","Years"
"UCFP375","Female","","Years"
"UCFP376","Male","3.5","Years"
"UCFP377","Female","1","Years"
"UCFP378","Male","1.75","Years"
"UCFP379","Male","3.5","Years"
"UCFP380","Male","","Years"
"UCFP381","Male","3","Years"
"UCFP382","Female","1.5","Years"
"UCFP383","Male","2","Years"
"UCFP384","Male","7","Years"
"UCFP385","Female","1.17","Years"
"UCFP386","Female","4","Months"
"UCFP387","Female","3","Years"
"UCFP388","Male","3.5","Years"
"UCFP389","Male","9","Months"
"UCFP390","Male","2","Years"
"UCFP391","Male","2","Years"
"UCFP392","Male","3","Years"
"UCFP393","Female","3","Years"
"UCFP394","Female","2","Years"
"UCFP395","Male","2","Years"
"UCFP396","Male","2","Years"
"UCFP397","Male","5","Years"
"UCFP398","Female","7","Years"
"UCFP399","Male","4.5","Years"
"UCFP400","Male","1.5","Years"
"UCFP401","Female","1","Years"
"UCFP402","Female","3.5","Years"
"UCFP403","Male","1.75","Years"
"UCFP404","Female","4.5","Years"
"UCFP405","Male","2","Years"
"UCFP406","Male","2.5","Years"
"UCFP407","Female","2.5","Years"
"UCFP408","Male","8","Years"
"UCFP409","Male","4.5","Months"
"UCFP410","Male","3","Years"
"UCFP411","Female","11","Years"
"UCFP412","Male","3","Years"
"UCFP413","Female","4","Months"
"UCFP414","Male","2.5","Years"
"UCFP415","Male","3","Years"
"UCFP416","Male","2","Months"
"UCFP417","Female","3","Years"
"UCFP418","Male","5","Years"
"UCFP419","Female","1.5","Years"
"UCFP420","Male","1.5","Years"
"UCFP421","Female","1.5","Years"
"UCFP422","Female","4","Years"
"UCFP423","Male","2.5","Years"
"UCFP424","Female","2","Years"
"UCFP425","Female","10","Months"
"UCFP426","Male","2","Years"
"UCFP427","Male","3","Years"
"UCFP428","Female","4","Years"
"UCFP429","Female","8","Years"
"UCFP430","Female","2","Years"
"UCFP431","Male","2","Years"
"UCFP432","Female","2","Years"
"UCFP433","Male","2.5","Years"
"UCFP434","Female","4","Years"
"UCFP435","Male","1.5","Years"
"UCFP436","Female","3","Years"
"UCFP437","Female","2.5","Years"
"UCFP438","Female","3.5","Years"
"UCFP439","Male","1","Years"
"UCFP440","Male","4","Years"
"UCFP441","Female","6","Months"
"UCFP442","Female","3.5","Years"
"UCFP443","Female","2.75","Months"
"UCFP444","Male","2.5","Years"
"UCFP445","Male","2.5","Years"
"UCFP446","Female","4","Years"
"UCFP447","Male","2","Years"
"UCFP448","Male","4","Years"
"UCFP449","Male","5","Years"
"UCFP450","Male","1.5","Years"
"UCFP451","Male","4","Years"
"UCFP452","Female","2.5","Years"
"UCFP453","Male","2.5","Years"
"UCFP454","Female","2","Years"
"UCFP455","Female","4.5","Years"
"UCFP456","Male","2.5","Years"
"UCFP457","Female","4.5","Years"
"UCFP458","Male","","Years"
"UCFP459","Male","2","Years"
"UCFP460","Male","3","Years"
"UCFP461","Male","1.5","Years"
"UCFP462","Unknown","",""
"UCFP463","Male","2","Years"
"UCFP464","Male","1","Years"
"UCFP465","Male","2.5","Years"
"UCFP466","Female","10","Years"
"UCFP467","Female","6","Years"
"UCFP468","Female","4","Years"
"UCFP469","Female","1.5","Years"
"UCFP470","Female","2","Years"
"UCFP471","Male","9","Years"
"UCFP472","Female","","Years"
"UCFP473","Male","3.5","Years"
"UCFP474","Male","7.5","Months"
"UCFP475","Male","3.5","Years"
"UCFP476","Male","2.25","Years"
"UCFP477","Male","4","Years"
"UCFP478","Male","2.25","Years"
"UCFP479","Male","1.75","Years"
"UCFP480","Female","10.5","Years"
"UCFP481","Male","1.5","Years"
"UCFP482","Male","4.5","Years"
"UCFP483","Male","4.5","Months"
"UCFP484","Male","1.25","Years"
"UCFP485","Male","4.5","Years"
"UCFP486","Unknown","4.5","Months"
"UCFP487","Female","2.5","Years"
"UCFP488","Male","2.5","Years"
